reference_split,comparison_split,feature,channel,statistic,reference_mean,comparison_mean,standardized_mean_difference,population_stability_index,jensen_shannon_divergence,model_importance,importance_weighted_smd
train,test,b08_2018__p10,b08_2018,p10,0.11419602483510971,0.12065406143665314,3.809541940689087,16.356686703143044,0.8506604888186732,0.0035739894800567,0.013615262819857582
train,test,b03_2018__p25,b03_2018,p25,0.11708912253379822,0.12390798330307007,3.9604837894439697,23.544399515777066,0.9297395410272793,0.003380717048555,0.01338927506749894
train,test,b08_2018__p25,b08_2018,p25,0.11612191051244736,0.1222066730260849,3.5748512744903564,15.000819253642195,0.8427494829281859,0.0035168610628782,0.012572255252835644
train,test,b08_2018__mean,b08_2018,mean,0.11910779029130936,0.12465916574001312,1.7229336500167847,12.696174663171583,0.7130746660442131,0.007274781671374,0.012533966138135611
train,test,b04_2022__std,b04_2022,std,0.04667459428310394,0.03359728306531906,0.7754596471786499,1.6106622955755754,0.2360846180275405,0.0158311922344008,0.012276450744505828
train,test,b04_2018__p10,b04_2018,p10,0.12527517974376678,0.13367457687854767,3.919417381286621,22.71262881595953,0.8820577988461438,0.0030465024492675,0.011940514651791303
train,test,b03_2018__mean,b03_2018,mean,0.11961231380701065,0.12596581876277924,2.395763397216797,20.476705632490354,0.8252090594652925,0.0049756453789066,0.011920469076315332
train,test,ndvi_2022__min,ndvi_2022,min,0.009242430329322815,0.012972143478691578,1.7999022006988525,7.138490208493957,0.454673203873321,0.0066132783044631,0.01190325417403711
train,test,ndvi_2018__p10,ndvi_2018,p10,0.026690779253840446,0.031060196459293365,1.4819566011428833,3.516014625303538,0.38051717561440174,0.0078693966514302,0.011662104314598687
train,test,ndvi_2018__min,ndvi_2018,min,0.016048651188611984,0.021784817799925804,1.6613651514053345,6.731363395932384,0.40151845006698283,0.006890899707582,0.011448300636005944
train,test,b08_2022__std,b08_2022,std,0.048682939261198044,0.03398260846734047,0.8941717743873596,2.752115311700222,0.3804651936890118,0.0122501373356818,0.010953727037935436
train,test,b03_2018__median,b03_2018,median,0.11921970546245575,0.12566472589969635,3.07184100151062,21.382491673795506,0.8994017677259154,0.0035207563507211,0.01081520371447398
train,test,b03_2022__max,b03_2022,max,0.9138445258140564,0.8910571932792664,1.9801592826843262,8.977513376508437,0.5375838851855295,0.0053486172407951,0.010591114078885844
train,test,ndvi_2018__p25,ndvi_2018,p25,0.03019312024116516,0.034094858914613724,1.3782086372375488,3.1099640321429756,0.3465126729890471,0.0073021154785524,0.010063838622646915
